"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.weight","p.GS.weight","MM.magenta","p.MM.magenta","MM.purple","p.MM.purple","MM.midnightblue","p.MM.midnightblue","MM.green","p.MM.green","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.cyan","p.MM.cyan","MM.blue","p.MM.blue","MM.grey60","p.MM.grey60","MM.lightcyan","p.MM.lightcyan","MM.royalblue","p.MM.royalblue","MM.grey","p.MM.grey","MM.darkgreen","p.MM.darkgreen","MM.pink","p.MM.pink","MM.salmon","p.MM.salmon","MM.greenyellow","p.MM.greenyellow","MM.lightgreen","p.MM.lightgreen","MM.darkred","p.MM.darkred","MM.brown","p.MM.brown"
"MMT00058918","MMT00058918","Ilf2",67781,"black",-0.391527975074114,2.89764751078994e-06,-0.381280831683664,5.48828432031507e-06,-0.476227563948533,6.02722886443155e-09,-0.435159646164412,1.48514978680026e-07,-0.175266416516244,0.0428104304243219,0.899885766197113,2.06359332877109e-49,0.446645025937321,6.32189646655861e-08,-0.433297172491188,1.70074958873286e-07,-0.433789761065319,1.64098504634622e-07,0.301194985745468,0.00040560849653617,-0.171448444934728,0.0476184714288863,0.542663948923168,1.25978521709577e-11,-0.129227542643821,0.136711448838802,0.0626056225342521,0.472369986229886,-0.20842848792458,0.0156604322751289,-0.0886550914910707,0.308369326623788,-0.157363812443539,0.0693883300555423,0.00912297611749072,0.916678240470832,0.0211219522969118,0.808593716515802,0.613349526067838,3.31898759478563e-15
"MMT00000207","MMT00000207","Akap13",233400,"black",-0.390850266573663,3.02468537665727e-06,-0.409768338795529,8.80478736357323e-07,-0.477757928054753,5.30436609626281e-09,-0.422769482351955,3.60456993502341e-07,-0.184281348521473,0.0330466609308702,0.888260078488296,1.96453323919733e-46,0.425244678804697,3.02794484518598e-07,-0.377586920674905,6.87325991375657e-06,-0.410613573290432,8.31755071782661e-07,0.240136795496617,0.00519387179331992,-0.182959572425668,0.0343479523284554,0.45033358451254,4.77303886424802e-08,0.0265438845902017,0.760790677559676,0.1207342911878,0.164651700156771,-0.176935795999745,0.0408394236735733,-0.109715642758248,0.206961295916133,-0.124870349814294,0.150556189217353,-0.0248747199463579,0.775420294231838,-0.0903256452557726,0.29930613314801,0.530940098178486,4.13230867111525e-11
"MMT00015015","MMT00015015","Btf3",218490,"black",-0.390821955089851,3.03010568821977e-06,-0.399712484930746,1.71282645728903e-06,-0.473055211972212,7.83915264561569e-09,-0.436665411865481,1.33019979800183e-07,-0.174026255220399,0.0443256052822038,0.927082065097619,4.20402919177409e-58,0.434116642684132,1.60243903497554e-07,-0.430753584779119,2.04395880026174e-07,-0.463022742782613,1.76897296742341e-08,0.292199458227444,0.000612888076716929,-0.172807306031888,0.0458582021748103,0.519039116793041,1.31836556499841e-10,-0.0816549718672394,0.348276999135817,0.0774894000088908,0.373498093003242,-0.176789794387552,0.0410087157215523,-0.111242328006629,0.200673716982808,-0.129987592996516,0.134399256352615,-0.0237297417351512,0.785501717890156,0.044401238832001,0.610459583849296,0.597570756038912,2.49266097036726e-14
"MMT00064177","MMT00064177",NA,207923,"black",-0.390239908878652,3.14360250934938e-06,-0.350620712116385,3.27658263691417e-05,-0.439792550062611,1.05631509535324e-07,-0.440337991093243,1.01444046884811e-07,-0.132276570307473,0.127616255479764,0.863181509269165,5.32137513210381e-41,0.380344531933074,5.81192467097141e-06,-0.412535960358589,7.3031853886895e-07,-0.450324814522648,4.77624812764993e-08,0.228988951262857,0.00778247593285837,-0.166484094568453,0.054533161822438,0.462510134090661,1.84279655101714e-08,-0.111592583011727,0.19925085279266,0.0651845814278643,0.454283353431605,-0.113921654537637,0.189974344741443,-0.07382917204834,0.396557448938981,-0.145202475594144,0.0941351541794512,0.0486045060093547,0.577051674120967,0.0344167638720714,0.69299983015053,0.506653405516798,4.20833598173787e-10
"MMT00015256","MMT00015256","Bing4",57315,"black",-0.387804257171926,3.66375617698095e-06,-0.428061653567596,2.47885552958262e-07,-0.498717831369748,8.64206893929497e-10,-0.473037525688615,7.850589705268e-09,-0.171030447823296,0.0481711066545285,0.89935492943312,2.87373559953578e-49,0.455209426515152,3.27510096351508e-08,-0.39513090392583,2.30293414625065e-06,-0.417442519382469,5.22091284388179e-07,0.291550677063957,0.000631084696361299,-0.18061293231469,0.036764899059814,0.508335790580543,3.60430578406993e-10,-0.106175227185257,0.22208333807259,0.147482334965421,0.0890276421885532,-0.220616733556993,0.0104209129488697,-0.114344807160249,0.1883232885752,-0.140492291697978,0.105421327198546,-0.0520683381800506,0.550178080439393,0.101427416525635,0.243566964697605,0.592395813834989,4.71555573544103e-14
"MMT00021912","MMT00021912","Xmr",22526,"black",-0.387147324715641,3.81743525516877e-06,-0.389561675522632,3.28093989905029e-06,-0.466976327066044,1.28762322024831e-08,-0.461973405787078,1.92325922446181e-08,-0.17262894644712,0.0460861134033834,0.92567060194207,1.42182788433244e-57,0.395041281922179,2.31620709049427e-06,-0.408383393707817,9.66235381952251e-07,-0.468812163899312,1.1095414072791e-08,0.260488879340348,0.00236747102035087,-0.182002398567404,0.0353170884762766,0.48708101233117,2.40252259399958e-09,-0.0653990491332621,0.45279684390432,0.11027036096834,0.204660567313707,-0.135045236833945,0.119767153776253,-0.116066268986171,0.181714340279452,-0.110503967671071,0.203697191703586,-0.00920782707995161,0.915906111608656,0.0412059196556434,0.636409322465859,0.55484413922621,3.48965523709589e-12
"MMT00069039","MMT00069039","1700001K19Rik",66323,"black",-0.38364793801101,4.74443856907966e-06,-0.378563190370181,6.47813660844115e-06,-0.47853188183579,4.97129417409727e-09,-0.456884573816492,2.87366217809961e-08,-0.156880141652799,0.0702599102237441,0.887146631421951,3.63993714069658e-46,0.445775340943829,6.75172940876021e-08,-0.423158401702756,3.50750311586708e-07,-0.437057365351327,1.29247614106104e-07,0.23234812847218,0.00690272557914412,-0.201954472072861,0.0192808694270657,0.505675651494075,4.60308375531236e-10,-0.153785623262822,0.0760485224900198,0.0924556581359921,0.288007639483088,-0.184036951065186,0.0332840772918529,-0.101774712434129,0.241948188971611,-0.164766374860616,0.0571105631768621,-0.0114315992390122,0.895700274093147,0.0145248366204774,0.867707845463219,0.554878668422939,3.4767209650889e-12
"MMT00029709","MMT00029709","C230069K22Rik",243538,"black",-0.382319150816109,5.14934671742989e-06,-0.395605062529737,2.23390452174612e-06,-0.469159725113848,1.07860382966791e-08,-0.422506251120164,3.67171594747244e-07,-0.179783250991971,0.0376530166714296,0.918530937477814,4.77088657106059e-55,0.391792866933477,2.84938219797195e-06,-0.385329792486721,4.27507621011685e-06,-0.450396066421694,4.75023414919917e-08,0.292449616099566,0.000606001668566395,-0.150235162886605,0.0831573987662349,0.474806249142842,6.78273449066875e-09,-0.0768081162606168,0.377726846536863,0.0963646110253915,0.268021527997233,-0.153987346992391,0.0756598145408845,-0.116415178211402,0.180395818495683,-0.0938029962929108,0.281009535975641,-0.0295905001614324,0.734308373939414,0.0484970863328076,0.577894753794589,0.565210469983861,1.12250297843e-12
"MMT00023728","MMT00023728","F5",14067,"black",-0.381621063309338,5.37496322492149e-06,-0.518562574556301,1.37977133804977e-10,-0.426010122371892,2.86822927507461e-07,-0.483295505818156,3.32332634837612e-09,-0.238090839257825,0.00560160849055532,0.528269971285986,5.38200200207547e-11,0.245300800598046,0.00428015561884753,-0.182697586664434,0.0346109527147464,-0.187502396130807,0.0300491616708672,0.267729959891638,0.00176322877691054,-0.233822959914078,0.00654521429845893,0.292697909671473,0.000599237036638536,-0.0530737706609811,0.542493316183967,0.0456114324668026,0.600754065875206,-0.153199972578883,0.0771861636407719,0.126350781836074,0.145738402952852,0.163517395681158,0.0590468531175523,-0.0896743078835371,0.302818691420503,0.120188549093629,0.166582599716628,0.465634528477475,1.43482014125083e-08
"MMT00052549","MMT00052549",NA,NA,"black",-0.380483659371953,5.76271756494644e-06,-0.371516895294527,9.88976850952554e-06,-0.432345370775931,1.82217310811086e-07,-0.428858248611049,2.34171975208552e-07,-0.189473318236197,0.0283314735389173,0.924732368759072,3.15394885333251e-57,0.297025042772098,0.000491962119085565,-0.32673641702234,0.000116624442309127,-0.446719945553392,6.28612001844655e-08,0.275698684565133,0.00126294951741472,-0.126768885441628,0.144399123095803,0.403074197655798,1.37451578005923e-06,0.000947620758487631,0.991329769896673,0.19413225176375,0.0246005996263138,-0.0709119107681148,0.415530393588711,-0.132623298106919,0.126612160473871,-0.0359088925761357,0.680402410923044,-0.0981406677814348,0.259259613483346,0.0658413852856643,0.449739535657926,0.490985221791938,1.71212883946905e-09
"MMT00020295","MMT00020295","4931409K22",231045,"black",-0.379652119167033,6.06278913798609e-06,-0.379638159979015,6.06795042094458e-06,-0.475112027683589,6.61288163355708e-09,-0.427376639561235,2.60288397990682e-07,-0.197519729892828,0.022159600813813,0.911870724453863,6.83028331599183e-53,0.441326708004243,9.42550463422018e-08,-0.408491249230336,9.59281350583099e-07,-0.42696810495983,2.67965046883051e-07,0.284423650558419,0.000866398661792881,-0.176904309185127,0.0408758837168916,0.512446555764827,2.45956243532746e-10,-0.101635293931911,0.242597129054606,0.0988471756598691,0.255829310741572,-0.204301103884948,0.0178927111332534,-0.0917565891617958,0.291684016468243,-0.162620579989477,0.0604701530785865,-0.0216188854425484,0.804179975172772,0.0239530280624648,0.783532851729619,0.586317368422937,9.82879223439083e-14
"MMT00019176","MMT00019176","P2ry1",18441,"black",-0.37652325029663,7.32965038432271e-06,-0.362237202791216,1.70099249665221e-05,-0.472856493644479,7.96858232332211e-09,-0.452809725854263,3.94500169891147e-08,-0.15497924709544,0.0737717473740416,0.901937227286037,5.638158121833e-50,0.432316816508777,1.82594083853007e-07,-0.432716021379147,1.77393494672966e-07,-0.455131355466048,3.29506465795072e-08,0.261349957626043,0.00228691353688925,-0.191881965587553,0.0263464993727424,0.517001907437833,1.60082480414071e-10,-0.114723411420919,0.18685494301456,0.0987838321488062,0.256135583590082,-0.177630099338663,0.0400423556893149,-0.108025687757221,0.214084732307552,-0.163901420098864,0.058445847651303,0.0134950492979456,0.877010530103987,0.0303657044156338,0.727618177881271,0.573912072412555,4.20026135485321e-13
"MMT00052718","MMT00052718","Tff1",21784,"black",-0.373845993011571,8.60848097138716e-06,-0.389044487673083,3.38946903046753e-06,-0.468204686408562,1.16567300187145e-08,-0.453067296077173,3.86724710696372e-08,-0.16726343075899,0.0533958281545297,0.917916571663726,7.67444509031193e-55,0.418298846024612,4.9211729063386e-07,-0.429983529534739,2.16029062591676e-07,-0.467835823869144,1.20107662975541e-08,0.300312341759875,0.000422624416540766,-0.176218746635484,0.0416765139352585,0.521988259127798,9.93104757854431e-11,-0.0675693580479502,0.437907771044934,0.0966804272789845,0.26644896984282,-0.168662259645802,0.0514035702478115,-0.100717732686041,0.246898214832845,-0.133054309063534,0.125372478426111,-0.0182652019105499,0.834080094643854,0.0614961972858921,0.480269497080593,0.599542796696256,1.94913896238342e-14
"MMT00033201","MMT00033201","Acac",107476,"black",-0.373657666329724,8.70595238918818e-06,-0.343966967737385,4.71581563143542e-05,-0.42260971707087,3.64518235375537e-07,-0.366423517955976,1.33460933345553e-05,-0.208286461838802,0.0157330208898267,0.897725232804124,7.8529153805711e-49,0.296583521430954,0.000502035016024944,-0.306469541664154,0.000316427688060812,-0.395994864982121,2.1786313789498e-06,0.279980442396899,0.00105129303211975,-0.140616120600105,0.105111610979924,0.38230986773826,5.15228723535086e-06,-0.0263778271332029,0.762242423151427,0.197031331258492,0.0224981493485413,-0.0955693638458386,0.272009218933526,-0.0870491895214798,0.317249182505471,-0.0325361357319453,0.708997139275857,-0.0616974927504705,0.478830935210214,0.0676847671561266,0.437123899777966,0.492196925912886,1.53991281087196e-09
"MMT00038489","MMT00038489",NA,NA,"black",-0.373320159081197,8.88324821067516e-06,-0.350137551862634,3.3653035187791e-05,-0.423220335891183,3.49227760682098e-07,-0.379413411066374,6.15162362258523e-06,-0.186297690041557,0.0311420452568594,0.904550418050854,1.03530885755251e-50,0.284869837561608,0.000849583355576277,-0.320351198035027,0.000160949022104354,-0.460665539244567,2.13368979296955e-08,0.27271101066396,0.00143293694287457,-0.0957791795778994,0.27095323973257,0.393482563327342,2.55899417633819e-06,-0.0780259402670335,0.370188245401366,0.210045032207027,0.0148545321685369,-0.0630797852054058,0.469015483008052,-0.116344114103037,0.180663797142213,-0.0280496510203207,0.747665187285258,-0.025371168793071,0.77106060347766,0.112843652510755,0.194228073409126,0.465543218607697,1.44540342397367e-08
"MMT00069185","MMT00069185","Bicd2",76895,"black",-0.371865703342845,9.68704120991675e-06,-0.376302939882135,7.42769371789071e-06,-0.447567632608601,5.89459673503977e-08,-0.443888366213899,7.78261370253747e-08,-0.150441156141684,0.0827309033739761,0.907767859697393,1.19972631488306e-51,0.390486311637878,3.09507146202434e-06,-0.392247741056187,2.76827479245511e-06,-0.446216389705779,6.53036264692324e-08,0.297693475396895,0.000477066511305218,-0.170819481333628,0.0484520424147085,0.500568971918145,7.31868260846557e-10,-0.0976905592228348,0.261461374433326,0.142103009315427,0.101448165291877,-0.158088501208854,0.0680988807620452,-0.0853779662276931,0.326664479527499,-0.103921760422174,0.232106747113038,-0.0377135210658787,0.665283945282662,0.12358917520017,0.154821578788478,0.577766438634508,2.69235397909823e-13
"MMT00036859","MMT00036859","Plekhm1",353047,"black",-0.370470802486289,1.05220473385774e-05,-0.596555017185374,2.82747522034722e-14,-0.564328919178922,1.23806925395664e-12,-0.345896382197487,4.24685613353834e-05,-0.25558132172555,0.00287763634080491,0.565450839573689,1.0928527833727e-12,0.334921845695374,7.63615869319236e-05,-0.370863484610617,1.02803564124385e-05,-0.41373744477236,6.73025799254887e-07,-0.0787625438617963,0.365673677811083,-0.0634662714705437,0.466290919870564,0.361091840683168,1.81664471711862e-05,-0.0987028466559561,0.256527523977544,0.123249343658085,0.155968054291657,0.0385546894794849,0.658282218966636,-0.161172700885947,0.0628272597059739,-0.184776402821318,0.0325701366788209,0.0766533931760612,0.378691266684504,-0.0736791227804128,0.397520527837214,0.158936474014691,0.0666148732874855
"MMT00002532","MMT00002532","Onecut1",15379,"black",-0.36914943186391,1.13753196025711e-05,-0.482661111135737,3.50767606572499e-09,-0.440103212264309,1.03226645962603e-07,-0.17610189710773,0.0418142765765463,-0.346555674220441,4.09689937956474e-05,0.479147414658246,4.72085161896923e-09,0.34616443129421,4.1852775435385e-05,-0.239982437394573,0.00522368234975004,-0.211228375006015,0.0142877295264171,0.306455981013585,0.000316631640244513,-0.0786974419641983,0.366071306556925,0.464141568540518,1.61757655685961e-08,-0.188362528195732,0.0292889582536491,0.0397338914086591,0.648516548574542,-0.222153247360156,0.00988465787309816,-0.0358032646249877,0.681291339687074,-0.058404468305925,0.502654352173607,0.0402936597903718,0.643901478267574,-0.00952835682896033,0.91299006083559,0.504829470591648,4.97334232653903e-10
"MMT00007805","MMT00007805","Gast",14459,"black",-0.368415382531819,1.18771257212027e-05,-0.380705881558711,5.68493796678025e-06,-0.474101218633558,7.19049372878967e-09,-0.45483711237968,3.37135982785249e-08,-0.197353403118377,0.0222744001720142,0.927571308396469,2.74000320717857e-58,0.449387374863198,5.13147654595577e-08,-0.425792481834997,2.91280411635016e-07,-0.438319046916766,1.17786844419436e-07,0.276995635628622,0.00119505889044595,-0.190297934228701,0.0276380258614626,0.510907202921469,2.83965087495948e-10,-0.0454900288427418,0.60172458369216,0.0890728734499201,0.306086098707695,-0.196726678250626,0.0227115721207741,-0.099618995870835,0.252117676397874,-0.159107373621484,0.0663189992400427,-0.00948428487535624,0.913390941969871,0.0365359282561722,0.675134562631377,0.592322768002255,4.75779450100672e-14
"MMT00002042","MMT00002042","Waspip",215280,"black",-0.368258899970753,1.19867663249607e-05,-0.353534876636461,2.78634787721318e-05,-0.40956854669177,8.92386471385548e-07,-0.459268955700439,2.38273279139822e-08,-0.131661281123382,0.129413141289444,0.856537852993317,9.68344808470785e-40,0.269890813656543,0.0016122645359005,-0.319227718337076,0.000170209545333008,-0.434428787949197,1.56643962399952e-07,0.175149130718825,0.0429518465658837,-0.126357956390819,0.145715342242062,0.326945434582238,0.000115387169322205,0.0802046595416012,0.356933981923902,0.143623913748976,0.0978056708793381,-0.0209166720415161,0.810418775388814,-0.127372412737931,0.142482363056402,-0.0380877202280228,0.662165573096595,-0.0405166800498764,0.642066525867759,0.132842096345231,0.125981674928145,0.369284657148667,1.12850878514883e-05
"MMT00064154","MMT00064154","Qk",19317,"black",0.368258155196745,1.19872904318736e-05,0.581627195838761,1.71442614147361e-13,0.51298003043576,2.33968538693481e-10,0.210782239848509,0.0144991668873633,0.415478209629666,5.97558705362158e-07,-0.555277132072621,3.33078183803478e-12,-0.45137087260324,4.4076873655314e-08,0.258962575045793,0.00251659818624495,0.0883531995431045,0.310026115141808,-0.244626897030493,0.00439058942837694,0.160574124901514,0.0638234180797554,-0.422432408651355,3.69076523726897e-07,0.116915525290728,0.178517296587794,-0.117649762865767,0.175786754930828,0.298799706580381,0.000453325530437309,-0.0329546349165983,0.705425944465443,0.20769625135852,0.0160378168081698,-0.0730960020813939,0.401276455144108,-0.0966158007615622,0.266770255709673,-0.478249846313626,5.09026957082894e-09
"MMT00064714","MMT00064714","1700011F14Rik",75645,"black",-0.366613726076509,1.31987444414212e-05,-0.382389974948697,5.12696462077933e-06,-0.494842293300869,1.21998873453345e-09,-0.455402024318277,3.22634614457042e-08,-0.200369839320884,0.0202700552247052,0.909662477450503,3.24872818989794e-52,0.451322969704904,4.42395240769344e-08,-0.405799218710322,1.14793023526782e-06,-0.40382858413079,1.30785883259705e-06,0.231696772668011,0.00706606609528985,-0.210054756876993,0.0148497955277427,0.487461046162853,2.32502067032024e-09,-0.0705098606865404,0.418186123721385,0.112639348087854,0.195041974920133,-0.208817817951027,0.0154629398530427,-0.115358273953279,0.184411540107695,-0.162164131096475,0.0612052886581123,-0.01395595791017,0.872844712321569,0.00807800139557896,0.926193477384451,0.550473045969494,5.564783044747e-12
"MMT00048204","MMT00048204","A630084M22Rik",320982,"black",-0.364247319111017,1.51461198372881e-05,-0.378554587723766,6.48152256432372e-06,-0.471019182752676,9.26664396395023e-09,-0.455908195131865,3.10150781655682e-08,-0.18806697424075,0.0295483094448797,0.905448029386148,5.71906958458806e-51,0.364186157882655,1.51998713933171e-05,-0.344893355435875,4.48490007289343e-05,-0.424313855791843,3.23361765048026e-07,0.272863561457482,0.00142377593028458,-0.153240801544337,0.0771064103331022,0.430573004566917,2.070689328349e-07,-0.0236670343014592,0.786054896276933,0.128179081954137,0.139950671229296,-0.143206831236699,0.0987941258325193,-0.107997148990977,0.214206510413137,-0.0799926303733856,0.35821072728014,-0.0475782875280365,0.585129214086946,0.112783797971033,0.194466264396938,0.531955381185674,3.7350506397254e-11
