"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.weight","p.GS.weight","MM.magenta","p.MM.magenta","MM.purple","p.MM.purple","MM.midnightblue","p.MM.midnightblue","MM.green","p.MM.green","MM.black","p.MM.black","MM.turquoise","p.MM.turquoise","MM.cyan","p.MM.cyan","MM.blue","p.MM.blue","MM.grey60","p.MM.grey60","MM.lightcyan","p.MM.lightcyan","MM.royalblue","p.MM.royalblue","MM.grey","p.MM.grey","MM.darkgreen","p.MM.darkgreen","MM.pink","p.MM.pink","MM.salmon","p.MM.salmon","MM.greenyellow","p.MM.greenyellow","MM.lightgreen","p.MM.lightgreen","MM.darkred","p.MM.darkred","MM.brown","p.MM.brown"
"MMT00030014","MMT00030014","9130422G05Rik",66819,"black",-0.579795030629117,2.12549413211565e-13,-0.554981502674607,3.43847495665597e-12,-0.551272832462326,5.11193703225101e-12,-0.483975017079004,3.13621624948347e-09,-0.278203159147024,0.00113486284386667,0.501723520878752,6.59466587728776e-10,0.452922649546003,3.91072989925397e-08,-0.326190162224822,0.00011991662491687,-0.181339458643466,0.0360017513883798,0.118902437050579,0.171199495126462,-0.287410533328995,0.000759403365239186,0.337039566330171,6.83038613974259e-05,-0.140364649147675,0.105741330756154,0.0520590867655066,0.5502490365811,-0.273983443107458,0.00135814178059607,0.0851541079209081,0.327939137827068,-0.000180897058058889,0.998344856306646,-0.0232488951192837,0.789746260451103,0.0966127986338303,0.266785186962516,0.438829666507459,1.13430514540337e-07
"MMT00035294","MMT00035294","BC010552",213603,"black",0.460825326453034,2.10684295981594e-08,0.505477315395542,4.68740515934772e-10,0.519347037304752,1.2801010012087e-10,0.386056132160496,4.08628226600951e-06,0.235253215936001,0.00621432989956206,-0.573035094284971,4.64377808720085e-13,-0.516958106592826,1.60749763258944e-10,0.422410946887267,3.69631943104317e-07,0.37563674255316,7.73176396579168e-06,-0.204596851204103,0.0177240576684558,0.154314820710984,0.0750322094409277,-0.572897820177483,4.71719422233075e-13,0.142221394976692,0.101160858300326,-0.106606017774814,0.220202617981082,0.300244354969103,0.000423962046593404,0.0605229749952201,0.487257381269461,0.168014230212554,0.0523187324202118,0.0197517995795247,0.820794184497993,-0.00392732802104773,0.964078325937122,-0.526873754958702,6.17376625895907e-11
"MMT00074983","MMT00074983","Gpx4",14779,"black",0.443247261836876,8.16595266820768e-08,0.594713360447872,3.54937235591916e-14,0.637304485997093,1.24220621952435e-16,0.241118702400838,0.00500777227280122,0.36422640168073,1.51644829347065e-05,-0.585496045119126,1.08415533219333e-13,-0.354866630439308,2.58606246984812e-05,0.196206450773815,0.0230800354702264,0.28755422422904,0.00075457574577359,-0.231554562982465,0.00710218101843874,0.0417456998661975,0.631993433574921,-0.38485100029459,4.40401264322479e-06,0.0152688464036917,0.860997935414405,-0.132030611588483,0.128332235925624,0.209081479186268,0.0153304282848753,-0.0167700421952013,0.84748991986016,-0.0206252820708899,0.81301114721881,-0.0526065337857679,0.546057934061541,-0.0477299881601088,0.583931886672265,-0.384253200415527,4.57017017913558e-06
"MMT00030149","MMT00030149","Gpx4",14779,"black",0.418985342204968,4.69279952942408e-07,0.568937439383944,7.39379912496725e-13,0.620227594919914,1.32984693046797e-15,0.238744471410351,0.00546834682980266,0.346094458640106,4.2012710017408e-05,-0.58232106844273,1.57985263181945e-13,-0.364703589884383,1.47507429058717e-05,0.194859693594065,0.0240578314414717,0.288885062062988,0.000711183481781914,-0.25686880364308,0.0027349890274838,0.0276047680860753,0.751535820593057,-0.407731465181168,1.00930095516364e-06,0.00567827102157618,0.948082076809282,-0.111720001691372,0.198735043572547,0.234208968889211,0.00645440369531217,-0.0127346507200495,0.883890533666866,-0.00190024929637043,0.982614743164957,-0.0384356928789566,0.659270944652478,-0.0517939169211008,0.552284717741687,-0.404172859275355,1.27847101198835e-06
"MMT00007987","MMT00007987","Gpx4",14779,"black",0.409411089078991,9.01878883359159e-07,0.55107310277504,5.22156079887175e-12,0.558369605336378,2.3832273501753e-12,0.300956408594769,0.000410144370932044,0.241418053208732,0.00495223450048004,-0.652454352373066,1.33456200797805e-17,-0.279358342765772,0.00107988220026701,0.356264830850964,2.39039676308448e-05,0.52343202629229,8.63630471710774e-11,-0.231125139825443,0.00721223161019889,0.0290179183553676,0.739262756645775,-0.464860369019365,1.52695973566935e-08,0.0215640098646435,0.804667077695247,-0.079991212645199,0.358219273756319,0.0342678277930617,0.694261923479724,-0.0252904317915053,0.771769133216422,-0.0361345787044779,0.67850458519156,-0.0457419881522943,0.599711166184681,-0.0700924578881992,0.420953691430333,-0.416999347272018,5.38279131693614e-07
"MMT00042811","MMT00042811","Pigr",18703,"black",-0.401648242375014,1.50943038751521e-06,-0.480939531884053,4.05888631298081e-09,-0.531993595786953,3.72084362067484e-11,-0.474436669317873,6.99362884579971e-09,-0.268458697883306,0.00171093841672104,0.579329350733491,2.24435614509173e-13,0.216635081660883,0.0119313135933834,0.00761157642454836,0.930444060355979,-0.142438232171337,0.100636283866833,0.438871886205003,1.130773007104e-07,-0.0499335742193317,0.566668237744861,0.242883701921338,0.00468818612727922,-0.0162526124522318,0.852141047951834,0.129098180348851,0.137107993007033,-0.223072329625568,0.00957564117005873,0.0363592122422448,0.676617610316712,0.106984115496099,0.218561272380086,-0.0901866984603293,0.300053186660309,0.0977789543367679,0.261027973767814,0.490559514771491,1.77692537533684e-09
"MMT00016413","MMT00016413","Il1rn",16181,"black",-0.399827666010592,1.70002913348309e-06,-0.393883464550731,2.49434020790336e-06,-0.46645925635194,1.34254187264557e-08,-0.459375623751396,2.36276779133522e-08,-0.150549915774167,0.0825064317193776,0.909467393767618,3.72141796945906e-52,0.398360546967719,1.87004140457847e-06,-0.346112933417422,4.19704271248278e-05,-0.41217374710911,7.48482557178866e-07,0.275412148425687,0.00127841553368722,-0.177455801578089,0.0402412148147557,0.45117129354007,4.47583307508999e-08,-0.0510718192726082,0.557846641170775,0.113783577360338,0.19051536835187,-0.179005620213598,0.0385017325215402,-0.120866612881979,0.164186050186965,-0.0739632818675855,0.395697855428878,-0.0601015136485493,0.490300293531559,0.0757699427344821,0.384226643689181,0.546434203638821,8.51368581976246e-12
"MMT00037893","MMT00037893","A830093I24Rik",207921,"black",-0.392274791028844,2.76352123081497e-06,-0.516329119271277,1.70633460665395e-10,-0.611495616814851,4.23079032023451e-15,-0.426957176778754,2.68173334035557e-07,-0.375138923497116,7.96662163975205e-06,0.539801844416855,1.69075011463142e-11,0.41527899463358,6.05768003991407e-07,-0.283749482306489,0.000892385152762665,-0.195025596525422,0.0239354934898433,0.0205558549914286,0.813629110262704,-0.228935151287854,0.00779733909887952,0.32949507712252,0.000101247582181388,0.0783375922873639,0.368274000818167,0.0428337380403219,0.623131760548446,-0.196251593761773,0.0230478598116914,-0.0499884184476298,0.566241673398675,-0.0607100454742416,0.485909987206084,0.0297519277160716,0.732913551977147,0.0334558980345593,0.701156932051122,0.273925946894233,0.00136144315407552
"MMT00025736","MMT00025736",NA,NA,"black",-0.391783701120336,2.85103946611706e-06,-0.371137587216852,1.01147660132696e-05,-0.462835307916193,1.79563108466919e-08,-0.470458501707045,9.70167181390968e-09,-0.140197574948822,0.10616134104149,0.920401874753487,1.09581582311369e-55,0.428099100565093,2.47224069739773e-07,-0.444552777436394,7.40354273206421e-08,-0.473215011160656,7.73653989628071e-09,0.281332416866292,0.000991533878516865,-0.194110244874318,0.024617181809556,0.534986032689997,2.75672591886321e-11,-0.0960970722430238,0.269358618926364,0.024616420060449,0.777691399992125,-0.167677792074608,0.0527991442966271,-0.114283573546636,0.188561560020916,-0.139016469161069,0.109167948814181,-0.0193384127794279,0.824483746579435,0.0500376804590308,0.565858656008519,0.595227987116669,3.33134567873273e-14
"MMT00050660","MMT00050660","1110005L13Rik",66125,"black",-0.391768267955586,2.85383199820902e-06,-0.374910835605474,8.07646482529143e-06,-0.472660260782251,8.09840715379778e-09,-0.4389298600596,1.12593999970734e-07,-0.167691611801184,0.0527793390912166,0.912053145775599,5.99370586388496e-53,0.416823705380534,5.44826280654321e-07,-0.422453153323414,3.68540419105359e-07,-0.467755615774173,1.20891060291195e-08,0.253005459686643,0.00318335453004829,-0.171431460057711,0.0476408240372668,0.484484251856709,3.0026829852932e-09,-0.0863877095968171,0.320954566723344,0.0943949436815322,0.277971336343202,-0.156898940261274,0.0702258698459805,-0.113140823442285,0.193048616440557,-0.14685754721439,0.0904048691005883,-0.00239999658082379,0.978043610151341,0.0155151074138782,0.858779170017075,0.552535057593379,4.46898983873917e-12
